report_date,channel, spend ,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2021,facebook,56634,,,,apple brand search,apple non-brand search,direct streaming audio,direct-mail,facebook,google brand search,google non-brand search,google uac,growth-promo,impact radius,influencer,package-inserts,podcast,print,promo,radio,referral,snapchat,street-team,tiktok,tv,
4/8/2022,growth-promo,650,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,impact radius,9116,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,influencer,8567,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,package-inserts, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,podcast,2784,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,referral,3600,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,tiktok, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,apple brand search,2874,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,apple non-brand search,408,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,direct-mail,5018,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,facebook,3278,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,google brand search,3402,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,google non-brand search,8600,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,growth-promo,2000,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,impact radius,9226,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,influencer,3368,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,package-inserts, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,podcast,2773,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,referral,13200,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,tiktok, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,apple brand search,3045,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,apple non-brand search,435,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,direct-mail,4482,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,facebook,3648,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,google brand search,3782,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,google non-brand search,8577,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,impact radius,8691,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,influencer,2820,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,podcast,2757,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,tiktok, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,apple brand search,3071,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,apple non-brand search,432,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,direct-mail,4130,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,facebook,4124,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,google brand search,2706,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,google non-brand search,7169,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,growth-promo,100,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,impact radius,11449,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,influencer,10700,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,podcast,2912,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,referral,300,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,tiktok, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,apple brand search,2973,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,apple non-brand search,398,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,direct-mail,3869,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,facebook,4610,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,google brand search,2841,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,google non-brand search,6649,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,growth-promo,350,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,impact radius,10616,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,influencer,3929,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,podcast,3296,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,referral,900,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,tiktok, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,apple brand search,1275,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,apple non-brand search,404,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,direct-mail,4114,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,facebook,8289,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,google brand search,3121,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,google non-brand search,5879,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,growth-promo,1000,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,impact radius,13241,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,influencer,23314,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,podcast,2124,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,referral,5100,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,tiktok, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,apple brand search,2456,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,apple non-brand search,374,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,direct-mail,3532,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,facebook,8596,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,google brand search,3365,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,google non-brand search,6228,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,growth-promo,1450,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,impact radius,12515,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,influencer,16933,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,podcast,1712,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,referral,6900,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2022,tiktok,1047,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,apple brand search,2988,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,apple non-brand search,416,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,direct-mail,3349,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,facebook,8171,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,google brand search,3145,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,google non-brand search,6834,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,growth-promo,2050,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,impact radius,10153,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,influencer,5795,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,podcast,1681,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,referral,10400,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,tiktok,1183,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,apple brand search,2619,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,apple non-brand search,374,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,direct-mail,3823,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,facebook,8831,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,google brand search,2838,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,google non-brand search,5768,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,growth-promo,650,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,impact radius,8450,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,influencer,2309,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,podcast,1681,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,referral,4500,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,tiktok,1079,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,apple brand search,2408,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,apple non-brand search,363,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,direct-mail,3655,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,facebook,8632,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,google brand search,2790,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,google non-brand search,5694,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,impact radius,8022,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,influencer,14060,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,podcast,1681,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,referral,200,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,tiktok,1242,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,apple brand search,3197,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,apple non-brand search,464,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,direct-mail,1348,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,facebook,12003,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,google brand search,4357,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,google non-brand search,8946,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,impact radius,9537,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,influencer,10401,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,podcast,1632,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,referral,200,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,tiktok,1019,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,apple brand search,2960,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,apple non-brand search,402,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,direct-mail,766,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,facebook,10300,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,google brand search,3775,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,google non-brand search,8187,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,growth-promo,400,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,impact radius,8850,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,influencer,3230,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,podcast,1440,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,referral,1900,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,tiktok,802,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,apple brand search,3003,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,apple non-brand search,409,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,direct-mail,613,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,facebook,9391,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,google brand search,3775,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,google non-brand search,8163,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,google uac, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,growth-promo,700,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,impact radius,10500,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,influencer,15228,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,podcast,2312,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,referral,2700,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,tiktok,744,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,apple brand search,3009,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,apple non-brand search,403,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,direct-mail,613,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,facebook,9887,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,google brand search,3012,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,google non-brand search,9029,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,growth-promo,1350,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,impact radius,9480,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,influencer,15272,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,podcast,2438,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,referral,6900,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,tiktok,701,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,apple brand search,2882,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,apple non-brand search,410,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,direct-mail,429,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,facebook,11878,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,google brand search,3563,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,google non-brand search,8784,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,growth-promo,1550,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,impact radius,8130,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,influencer,10857,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,podcast,2438,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,referral,8800,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,tiktok,767,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,apple brand search,2977,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,apple non-brand search,378,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,direct-mail,659,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,facebook,11695,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,google brand search,2638,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,google non-brand search,8582,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,growth-promo,700,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,impact radius,8435,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,influencer,4726,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,podcast,2373,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,referral,3400,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,tiktok,1471,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,apple brand search,2869,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,apple non-brand search,394,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,direct-mail,245,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,facebook,11813,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,google brand search,2829,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,google non-brand search,9082,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,impact radius,7175,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,influencer,5011,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,podcast,2238,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,referral,200,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,tiktok,967,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,apple brand search,2848,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,apple non-brand search,453,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,direct-mail,536,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,facebook,9238,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,google brand search,3312,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,google non-brand search,11956,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,growth-promo,100,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,impact radius,10625,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,influencer,3896,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,podcast,2289,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,referral,200,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,tiktok,504,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,apple brand search,1211,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,apple non-brand search,393,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,direct-mail,781,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,facebook,9296,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,google brand search,3571,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,google non-brand search,12439,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,growth-promo,600,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,impact radius,8935,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,influencer,10438,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,podcast,2187,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,referral,3400,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,tiktok,1235,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,apple brand search,1174,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,apple non-brand search,391,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,direct-mail,368,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,facebook,9707,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,google brand search,3063,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,google non-brand search,10812,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,growth-promo,1050,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,impact radius,10060,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,influencer,12067,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,podcast,1267,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,referral,5100,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,tiktok,1013,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,apple brand search,2364,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,apple non-brand search,401,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,direct-mail,597,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,facebook,9832,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,google brand search,2811,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,google non-brand search,12157,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,growth-promo,1400,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,impact radius,9645,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,influencer,7242,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,podcast,1103,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,referral,9000,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,tiktok,1003,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,apple brand search,2539,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,apple non-brand search,400,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,direct-mail,567,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,facebook,9892,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,google brand search,2838,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,google non-brand search,10464,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,growth-promo,1650,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,impact radius,11820,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,influencer,58283,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,podcast,1099,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,referral,15400,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,tiktok,1494,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,apple brand search,2590,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,apple non-brand search,429,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,direct-mail,414,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,facebook,8829,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,google brand search,3982,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,google non-brand search,10065,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,growth-promo,950,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,impact radius,7905,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,influencer,90575,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,podcast,1099,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,referral,6100,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,tiktok,1570,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2022,tv,0,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,apple brand search,2315,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,apple non-brand search,397,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,direct-mail,597,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,facebook,9598,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,google brand search,3198,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,google non-brand search,10389,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,impact radius,9965,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,influencer,85264,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,podcast,1099,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,referral,300,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,snapchat, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,tiktok,2356,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2022,apple brand search,2404,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2022,apple non-brand search,427,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2022,direct-mail,5383,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2022,facebook,7508,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2022,google brand search,3878,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2022,google non-brand search,11031,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2022,growth-promo,50,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2022,impact radius,11510,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2022,influencer,77210,,,,,,,,,,,,,,,,,,,,,,,,,
