Date,Ally,Varo,SoFi,Chime
5/24/2021,8.7,-,-,-
5/25/2021,4.3,-,-,-
5/26/2021,4.6,-,-,-
5/27/2021,4.2,-,-,-
5/28/2021,9.5,-,-,-
5/29/2021,20,-,-,-
5/30/2021,0.7,-,-,-
5/31/2021,3,-,-,-
6/1/2021,8.5,-,-,-
6/2/2021,1.7,-,-,-
6/3/2021,5.5,-,-,-
6/4/2021,2.5,-,-,-
6/5/2021,11.8,-,-,-
6/6/2021,10.4,-,-,-
6/7/2021,3.9,-,-,-
6/8/2021,3.1,-,-,-
6/9/2021,4.7,-,-,-
6/10/2021,5.3,-,-,-
6/11/2021,8.5,-,-,-
6/12/2021,6.7,-,-,-
6/13/2021,5.4,-,-,-
6/14/2021,9.1,-,-,-
6/15/2021,9.4,-,-,-
6/16/2021,1.8,-,-,-
6/17/2021,3.9,-,-,-
6/18/2021,6.5,-,-,-
6/19/2021,4.3,-,-,-
6/20/2021,6.2,-,-,-
6/21/2021,4.3,-,-,-
6/22/2021,4.9,-,-,-
6/23/2021,2.9,-,-,-
6/24/2021,7.8,-,-,-
6/25/2021,8.2,-,-,-
6/26/2021,5.7,-,-,-
6/27/2021,3,-,-,-
6/28/2021,5.3,-,-,-
6/29/2021,7.2,-,-,-
6/30/2021,7.3,-,-,-
7/1/2021,5.5,-,-,-
7/2/2021,6.5,-,-,-
7/3/2021,2.3,-,-,-
7/4/2021,9.7,-,-,-
7/5/2021,4,-,-,-
7/6/2021,7.6,-,-,-
7/7/2021,3.1,-,-,-
7/8/2021,5.4,-,-,-
7/9/2021,2.6,-,-,-
7/10/2021,4.8,-,-,-
7/11/2021,7.8,-,-,-
7/12/2021,3.5,-,-,13.8
7/13/2021,1,-,-,15.9
7/14/2021,5.3,-,-,13.6
7/15/2021,6.3,-,-,20.4
7/16/2021,7.4,-,-,20.1
7/17/2021,1,-,-,10.6
7/18/2021,5.3,-,-,10
7/19/2021,6.7,-,-,10.5
7/20/2021,0.8,-,-,11.9
7/21/2021,6.1,-,-,12.9
7/22/2021,4.5,-,-,13.2
7/23/2021,2,-,-,10.1
7/24/2021,5.9,-,-,7.5
7/25/2021,4.7,-,-,11.1
7/26/2021,10.1,-,-,15.9
7/27/2021,0,-,-,13.6
7/28/2021,5.8,-,-,18.6
7/29/2021,5.5,-,-,10.2
7/30/2021,2.9,-,-,10.7
7/31/2021,8.9,-,-,9.4
8/1/2021,1.7,-,-,18.7
8/2/2021,9.6,-,-,8.9
8/3/2021,10.7,-,-,23.4
8/4/2021,7.9,-,-,8
8/5/2021,4.5,-,-,20.3
8/6/2021,8.8,-,-,16.5
8/7/2021,8.4,-,-,13.9
8/8/2021,4.4,-,-,13
8/9/2021,2.2,-,-,16.9
8/10/2021,9.6,-,-,8.6
8/11/2021,1.7,-,-,15.4
8/12/2021,7.9,-,-,23.2
8/13/2021,7.1,-,-,4.8
8/14/2021,0.8,-,-,15.8
8/15/2021,3.7,-,-,8.3
8/16/2021,2.4,-,-,16
8/17/2021,9.2,-,-,8
8/18/2021,5.1,-,-,15.7
8/19/2021,5.3,-,-,22.6
8/20/2021,4,-,-,16
8/21/2021,5.7,-,-,17.7
8/22/2021,9.3,-,-,11.7
8/23/2021,4.6,-,-,12.7
8/24/2021,2.8,-,-,16.9
8/25/2021,6.6,-,-,12
8/26/2021,5.9,-,-,18.3
8/27/2021,8.3,-,-,15.6
8/28/2021,6.1,-,-,19.3
8/29/2021,1.7,-,-,12.5
8/30/2021,12.1,-,-,13.7
8/31/2021,7.9,-,-,14.7
9/1/2021,7,-,-,17.9
9/2/2021,5.3,-,-,17.8
9/3/2021,4.7,-,-,14.1
9/4/2021,2.9,-,-,5.9
9/5/2021,1.7,-,-,12
9/6/2021,6.7,-,-,11.7
9/7/2021,6.9,-,-,18.1
9/8/2021,2.2,-,-,9.6
9/9/2021,7.6,-,-,15.3
9/10/2021,5.9,-,-,10.8
9/11/2021,3.5,-,-,11.5
9/12/2021,5.7,-,-,19.4
9/13/2021,3.6,-,-,19.5
9/14/2021,6.2,-,-,15.4
9/15/2021,1.6,-,-,15.2
9/16/2021,5.1,-,-,25.8
9/17/2021,5.8,-,-,9.5
9/18/2021,3.4,-,-,15.8
9/19/2021,6.2,-,-,18.9
9/20/2021,9.5,-,-,19.5
9/21/2021,6.3,-,-,12.6
9/22/2021,1.8,-,-,17.7
9/23/2021,7.6,-,-,22
9/24/2021,7.2,-,-,15.4
9/25/2021,5.9,-,-,10.4
9/26/2021,4.5,-,-,16.1
9/27/2021,7.6,-,-,13.2
9/28/2021,4.9,-,-,16.6
9/29/2021,6.1,-,-,14.5
9/30/2021,4.7,-,-,18.9
10/1/2021,4.7,-,-,16.2
10/2/2021,7.3,-,-,13.1
10/3/2021,6.4,-,-,17
10/4/2021,7.7,-,-,7.7
10/5/2021,3.3,-,-,14.1
10/6/2021,0,-,-,14.4
10/7/2021,4.6,-,-,14.9
10/8/2021,6.7,-,-,12.5
10/9/2021,2.3,-,-,15.7
10/10/2021,5.7,-,-,11
10/11/2021,6.1,-,-,21.6
10/12/2021,9.2,-,-,23.7
10/13/2021,3.8,-,-,17.7
10/14/2021,3.1,-,-,13.7
10/15/2021,7.1,-,-,16
10/16/2021,10,-,-,17
10/17/2021,7.2,-,-,13.7
10/18/2021,3.2,-,-,14.4
10/19/2021,7.1,-,-,12.4
10/20/2021,3.2,-,-,14.8
10/21/2021,9.3,-,-,19.4
10/22/2021,1,-,-,25.1
10/23/2021,5.7,-,-,23.2
10/24/2021,2.7,-,-,17.1
10/25/2021,4.2,-,-,17.9
10/26/2021,10.1,-,-,17.4
10/27/2021,8.3,-,-,24.7
10/28/2021,4,-,-,16.7
10/29/2021,4.6,-,-,18.6
10/30/2021,9.6,-,-,15.9
10/31/2021,5,-,-,14.7
11/1/2021,6.4,-,-,17.1
11/2/2021,9.1,-,-,8.2
11/3/2021,10.1,-,-,22.3
11/4/2021,3.2,-,-,13.5
11/5/2021,10.2,-,-,14
11/6/2021,8.8,-,-,9.5
11/7/2021,4.1,-,-,14
11/8/2021,8.6,-,-,14.4
11/9/2021,4.1,-,-,12.6
11/10/2021,4.8,-,-,17.6
