report_date,channel, spend 
2/10/2023,apple brand search,2110.00
2/10/2023,facebook, $-   
2/10/2023,google brand search,1561.00
2/10/2023,growth-promo,650.00
2/10/2023,impact radius,2370.00
2/10/2023,influencer,242.00
2/10/2023,referral,8700.00
2/10/2023,snapchat, $-   
2/10/2023,tiktok, $-   
2/11/2023,apple brand search,1855.00
2/11/2023,google brand search,1205.00
2/11/2023,growth-promo,200.00
2/11/2023,impact radius,1200.00
2/11/2023,influencer,123.00
2/11/2023,referral,3300.00
2/11/2023,snapchat, $-   
2/11/2023,tiktok, $-   
2/12/2023,apple brand search,2159.00
2/12/2023,google brand search,1149.00
2/12/2023,growth-promo,150.00
2/12/2023,impact radius,1490.00
2/12/2023,influencer,87.00
2/12/2023,referral,1400.00
2/12/2023,snapchat, $-   
2/12/2023,tiktok, $-   
2/13/2023,apple brand search,2354.00
2/13/2023,google brand search,1622.00
2/13/2023,growth-promo,100.00
2/13/2023,impact radius,2420.00
2/13/2023,influencer,95.00
2/13/2023,referral,600.00
2/13/2023,snapchat, $-   
2/13/2023,tiktok, $-   
2/14/2023,apple brand search,1770.00
2/14/2023,google brand search,1213.00
2/14/2023,growth-promo,150.00
2/14/2023,impact radius,1905.00
2/14/2023,influencer,72.00
2/14/2023,referral,900.00
2/14/2023,snapchat, $-   
2/14/2023,tiktok, $-   
2/15/2023,apple brand search,2355.00
2/15/2023,google brand search,1123.00
2/15/2023,growth-promo,350.00
2/15/2023,impact radius,3250.00
2/15/2023,influencer,70.00
2/15/2023,referral,3200.00
2/15/2023,snapchat, $-   
2/15/2023,tiktok, $-   
2/16/2023,apple brand search,2022.00
2/16/2023,google brand search,1132.00
2/16/2023,growth-promo,250.00
2/16/2023,impact radius,2245.00
2/16/2023,influencer,55.00
2/16/2023,referral,6000.00
2/16/2023,snapchat, $-   
2/16/2023,tiktok, $-   
2/17/2023,apple brand search,2098.00
2/17/2023,google brand search,1144.00
2/17/2023,growth-promo,300.00
2/17/2023,impact radius,1715.00
2/17/2023,influencer,197.00
2/17/2023,referral,7400.00
2/17/2023,snapchat, $-   
2/17/2023,tiktok, $-   
2/18/2023,apple brand search,2032.00
2/18/2023,google brand search,928.00
2/18/2023,growth-promo,200.00
2/18/2023,impact radius,1325.00
2/18/2023,influencer,110.00
2/18/2023,referral,2800.00
2/18/2023,snapchat, $-   
2/18/2023,tiktok, $-   
2/19/2023,apple brand search,2029.00
2/19/2023,google brand search,781.00
2/19/2023,growth-promo,100.00
2/19/2023,impact radius,1170.00
2/19/2023,influencer,38.00
2/19/2023,referral,2500.00
2/19/2023,snapchat, $-   
2/19/2023,tiktok, $-   
2/20/2023,apple brand search,2158.00
2/20/2023,google brand search,825.00
2/20/2023,impact radius,2015.00
2/20/2023,influencer,66.00
2/20/2023,referral,800.00
2/20/2023,snapchat, $-   
2/20/2023,tiktok, $-   
2/21/2023,apple brand search,2206.00
2/21/2023,google brand search,927.00
2/21/2023,growth-promo,50.00
2/21/2023,impact radius,3785.00
2/21/2023,influencer,107.00
2/21/2023,snapchat, $-   
2/21/2023,tiktok, $-   
2/22/2023,apple brand search,1966.00
2/22/2023,google brand search,871.00
2/22/2023,growth-promo,100.00
2/22/2023,impact radius,2960.00
2/22/2023,influencer,76.00
2/22/2023,referral,800.00
2/22/2023,snapchat, $-   
2/22/2023,tiktok, $-   
2/23/2023,apple brand search,2203.00
2/23/2023,google brand search,779.00
2/23/2023,growth-promo,250.00
2/23/2023,impact radius,2830.00
2/23/2023,influencer,58.00
2/23/2023,referral,5200.00
2/23/2023,snapchat, $-   
2/23/2023,tiktok, $-   
2/24/2023,apple brand search,2104.00
2/24/2023,google brand search,738.00
2/24/2023,growth-promo,450.00
2/24/2023,impact radius,3285.00
2/24/2023,influencer,159.00
2/24/2023,referral,9700.00
2/24/2023,snapchat, $-   
2/24/2023,tiktok, $-   
2/25/2023,apple brand search,2129.00
2/25/2023,google brand search,666.00
2/25/2023,growth-promo,250.00
2/25/2023,impact radius,1455.00
2/25/2023,influencer,68.00
2/25/2023,referral,6300.00
