"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"2589","referral",29.0107063023787,1013.02379589261,0.00603313558389977,0.944104190021073,0.00596972094154199,1013.02379589261,0.00603313558389977,0.944104190021073,0.00596972094154199,TRUE,1,0.728890815972207,NA,NA,0.0789363970825011,NA,NA,0.0789363970825011,0.117469727448432,0,92.8817677956808,0.01634415427,5648.87673040264,1e-04,"5_206_1",5,206,1,1436,2,2894117,2694.708566108,2834.18843876726,139.479872659258,0.362082750434337,0.0289417436253587,0.0261551285955476,0.000134368055599162,0.0003500286256197,2856.90919772511,4,FALSE,0.000434479994601248,2.74160887316894e-05,0.000172074291905919,0.000696219758617694,0.00210403905619071
"2590","snapchat",64.5435685175187,2407.06456392657,0.0143354449641271,3.35713328302171,0.0212276876588748,2407.06456392657,0.0143354449641271,3.35713328302171,0.0212276876588748,TRUE,1,0.728890815972207,NA,NA,0.0789363970825011,NA,NA,0.0789363970825011,0.117469727448432,0,92.8817677956808,0.01634415427,5648.87673040264,1e-04,"5_206_1",5,206,1,1436,2,2781585,2589.93016759779,3482.71082630665,892.780658708868,0.232789577484675,0.0278164013210742,0.0621476844498126,8.9882569189343e-05,0.00086535718445655,1155.59218547195,4,FALSE,0.000709630912886094,6.10361950452477e-05,0.000124480566344136,0.0012913809674697,0.0342580894968533
"2591","tiktok",60.6069218361145,1983.55119919392,0.0118131808659039,2.27471467797469,0.0143833826739349,1983.55119919392,0.0118131808659039,2.27471467797469,0.0143833826739349,TRUE,1,0.728890815972207,NA,NA,0.0789363970825011,NA,NA,0.0789363970825011,0.117469727448432,0,92.8817677956808,0.01634415427,5648.87673040264,1e-04,"5_206_1",5,206,1,1436,2,3910954,3641.48417132217,4031.96351396375,390.479342641575,0.238526000690031,0.0391103151664466,0.0512130484013522,6.55024131557396e-05,0.000507178350651509,1971.69299264336,4,FALSE,0.000630669810434982,2.15830069026393e-05,0.00042426496029572,0.000836892572379257,0.00196478738193746
"2592","tv",7.70396050690999,1696.73340303386,0.010105016991447,1.76192461374233,0.0111409295449066,1696.73340303386,0.010105016991447,1.76192461374233,0.0111409295449066,TRUE,1,0.728890815972207,NA,NA,0.0789363970825011,NA,NA,0.0789363970825011,0.117469727448432,0,92.8817677956808,0.01634415427,5648.87673040264,1e-04,"5_206_1",5,206,1,1436,2,8364139,7787.83891992552,8569.31796735711,781.479047431599,2.49989061681992,0.0836430478052075,0.0438077373193475,0.000320999271110223,0.000202858106857605,4929.55403898127,4,FALSE,8.08663054458215e-05,1.76342827108597e-05,0,0.000249045348520141,0.3521041484211
"2593","(Intercept)",71.7758727870098,77087.2873732483,0.459098846842049,71.7758727870098,0.471817820064949,77087.2873732483,0.459098846842049,71.7758727870098,0.471817820064949,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2594","trend",0.33160168203247,55987.8778975872,0.333439806429559,52.1302401281073,0.342677494562732,55987.8778975872,0.333439806429559,52.1302401281073,0.342677494562732,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2595","season",0.435397813977386,25.4381181068894,0.000151498529610442,0.0236853986097643,0.000155695677467971,25.4381181068894,0.000151498529610442,0.0236853986097643,0.000155695677467971,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2596","weekday",0.608216886341543,-26.9391069311714,-0.000160437775779712,-0.0250829673474592,-0.000164882578436306,-26.9391069311714,-0.000160437775779712,-0.0250829673474592,-0.000164882578436306,FALSE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2597","holiday",0.642353183400834,-617.587018940998,-0.00367808360991602,-15.4396754735249,-0.101492517493249,-617.587018940998,-0.00367808360991602,-15.4396754735249,-0.101492517493249,FALSE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2598","A",0.0723016962113291,465.622923600958,0.00277305058424726,0.436385120525735,0.00286857224134648,465.622923600958,0.00277305058424726,0.436385120525735,0.00286857224134648,TRUE,1,0.793121642951394,NA,NA,0.0689545159616416,NA,NA,0.0689545159616416,0.132424770103766,0,31.765264617374,0.005523841072,5648.87673040264,1e-04,"5_210_4",5,210,4,1467,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
